key,fullName,email,passport,birthDate,specialNeeds,key:customer,draftMode
passenger-24,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",LMNOPQR9,2012/07/05 0:00,"Lorem ipsum dolor sit ame",customer-02,true
passenger-25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",123456A,2012/07/05 0:00,"Lorem ipsum dolor sit ame",customer-01,true
passenger-26,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",ZXCVBNM1,2012/07/05 0:00,"Lorem ipsum dolor sit ame",customer-02,true
passenger-27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",0ABCDE9F,2012/07/05 0:00,"Lorem ipsum dolor sit ame",customer-01,true
# birthDate
passenger-28,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTK,2000/01/01 0:00,"Lorem ipsum dolor sit ame",customer-02,true
passenger-29,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTL,2000/01/01 0:01,"Lorem ipsum dolor sit ame",customer-01,true
passenger-30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTM,2024/12/01 23:59,"Lorem ipsum dolor sit ame",customer-02,true
passenger-31,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTN,2025/01/01 0:00,"Lorem ipsum dolor sit ame",customer-01,true
# specialNeeds
passenger-32,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTO,2012/07/05 0:00,"L",customer-02,true
passenger-33,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTP,2012/07/05 0:00,"Lo",customer-01,true
passenger-34,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTQ,2012/07/05 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",customer-02,true
passenger-35,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTR,2012/07/05 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",customer-01,true
passenger-36,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTS,2012/07/05 0:00,"โลเร็ม อิปซัม",customer-02,true
passenger-37,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTT,2012/07/05 0:00,"لوريم إيبسوم",customer-01,true
passenger-38,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTU,2012/07/05 0:00,"洛伦·伊普森",customer-02,true
passenger-39,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTV,2012/07/05 0:00,"<marquee>Hacked</marquee>",customer-01,true
passenger-40,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTW,2012/07/05 0:00,"<script>alert(‘Hacked!’);</script>",customer-02,true
passenger-41,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWTTT,2012/07/05 0:00,"' or 'A' = 'A ",customer-01,true
# draftMode
passenger-42,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",ZZZZZZZZZ,2012/07/05 0:00,"Lorem ipsum dolor sit ame",customer-01,false
