key,enabled,identity,password,username
user-account-customer-07,true,"UserIdentity{name: 'VVV', surname: 'VVV VVV', email: 'VVV@acme.com'}",customer7,customer7
user-account-customer-08,true,"UserIdentity{name: 'UUU', surname: 'UUU UUU', email: 'UUU@acme.com'}",customer8,customer8
user-account-customer-09,true,"UserIdentity{name: 'TTT', surname: 'TTT TTT', email: 'TTT@acme.com'}",customer9,customer9
user-account-customer-10,true,"UserIdentity{name: 'SSS', surname: 'SSS SSS', email: 'SSS@acme.com'}",customer10,customer10
user-account-customer-11,true,"UserIdentity{name: 'RRR', surname: 'RRR RRR', email: 'RRR@acme.com'}",customer11,customer11
user-account-customer-12,true,"UserIdentity{name: 'QQQ', surname: 'QQQ QQQ', email: 'QQQ@acme.com'}",customer12,customer12
user-account-customer-13,true,"UserIdentity{name: 'PPP', surname: 'PPP PPP', email: 'PPP@acme.com'}",customer13,customer13
user-account-customer-14,true,"UserIdentity{name: 'OOO', surname: 'OOO OOO', email: 'OOO@acme.com'}",customer14,customer14
user-account-customer-15,true,"UserIdentity{name: 'NNN', surname: 'NNN NNN', email: 'NNN@acme.com'}",customer15,customer15
user-account-customer-16,true,"UserIdentity{name: 'MMM', surname: 'MMM MMM', email: 'MMM@acme.com'}",customer16,customer16
user-account-customer-17,true,"UserIdentity{name: 'LLL', surname: 'LLL LLL', email: 'LLL@acme.com'}",customer17,customer17
user-account-customer-18,true,"UserIdentity{name: 'KKK', surname: 'KKK KKK', email: 'KKK@acme.com'}",customer18,customer18
user-account-customer-19,true,"UserIdentity{name: 'JJJ', surname: 'JJJ JJJ', email: 'JJJ@acme.com'}",customer19,customer19
user-account-customer-20,true,"UserIdentity{name: 'III', surname: 'III III', email: 'III@acme.com'}",customer20,customer20
user-account-customer-21,true,"UserIdentity{name: '中国', surname: '中国', email: 'chino@acme.com'}",customer21,customer21
user-account-manager-00,true,"UserIdentity{name: 'Antonio', surname: 'Fernández', email: 'antonio@acme.com'}",manager0,manager0
user-account-manager-01,true,"UserIdentity{name: 'Maria', surname: 'Nuñez', email: 'maria@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Mauricio', surname: 'Martínez', email: 'mauricio@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Rafael', surname: 'Miguez', email: 'rafael@acme.com'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'Lucia', surname: 'Gómez', email: 'lucia@acme.com'}",manager4,manager4
user-account-manager-05,true,"UserIdentity{name: 'Pedro', surname: 'Santos', email: 'pedro@acme.com'}",manager5,manager5
user-account-manager-06,true,"UserIdentity{name: 'Elena', surname: 'Ruiz', email: 'elena@acme.com'}",manager6,manager6
user-account-manager-07,true,"UserIdentity{name: 'Javier', surname: 'Hernández', email: 'javier@acme.com'}",manager7,manager7
user-account-manager-08,true,"UserIdentity{name: 'Carmen', surname: 'López', email: 'carmen@acme.com'}",manager8,manager8
user-account-manager-09,true,"UserIdentity{name: 'Hugo', surname: 'Vargas', email: 'hugo@acme.com'}",manager9,manager9
user-account-manager-10,true,"UserIdentity{name: 'Andrea', surname: 'Castro', email: 'andrea@acme.com'}",manager10,manager10
user-account-manager-11,true,"UserIdentity{name: 'Luis', surname: 'Ortega', email: 'luis@acme.com'}",manager11,manager11
user-account-manager-12,true,"UserIdentity{name: 'Sofía', surname: 'Delgado', email: 'sofia@acme.com'}",manager12,manager12
user-account-manager-13,true,"UserIdentity{name: 'Manuel', surname: 'Ramos', email: 'manuel@acme.com'}",manager13,manager13
user-account-manager-14,true,"UserIdentity{name: 'Patricia', surname: 'Flores', email: 'patricia@acme.com'}",manager14,manager14
user-account-manager-15,true,"UserIdentity{name: 'Roberto', surname: 'Medina', email: 'roberto@acme.com'}",manager15,manager15
user-account-manager-16,true,"UserIdentity{name: 'Isabel', surname: 'Molina', email: 'isabel@acme.com'}",manager16,manager16
user-account-manager-17,true,"UserIdentity{name: 'Fernando', surname: 'Suárez', email: 'fernando@acme.com'}",manager17,manager17
user-account-manager-18,true,"UserIdentity{name: 'Clara', surname: 'Pérez', email: 'clara@acme.com'}",manager18,manager18
user-account-manager-19,true,"UserIdentity{name: 'Alberto', surname: 'Morales', email: 'alberto@acme.com'}",manager19,manager19
user-account-manager-20,true,"UserIdentity{name: 'Gabriela', surname: 'Navarro', email: 'gabriela@acme.com'}",manager20,manager20
user-account-manager-21,true,"UserIdentity{name: 'Ricardo', surname: 'Cabrera', email: 'ricardo@acme.com'}",manager21,manager21
user-account-manager-22,true,"UserIdentity{name: 'Beatriz', surname: 'Fernández', email: 'beatriz@acme.com'}",manager22,manager22
user-account-manager-23,true,"UserIdentity{name: 'Emilio', surname: 'Aguilar', email: 'emilio@acme.com'}",manager23,manager23
user-account-manager-24,true,"UserIdentity{name: 'Natalia', surname: 'Jiménez', email: 'natalia@acme.com'}",manager24,manager24
user-account-manager-25,true,"UserIdentity{name: 'Francisco', surname: 'Torres', email: 'francisco@acme.com'}",manager25,manager25
user-account-manager-26,true,"UserIdentity{name: 'Valeria', surname: 'García', email: 'valeria@acme.com'}",manager26,manager26
user-account-manager-27,true,"UserIdentity{name: 'Daniel', surname: 'Vega', email: 'daniel@acme.com'}",manager27,manager27
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: 'One', email: 'admin1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: 'Two', email: 'admin2@acme.com'}",administrator2,administrator2

user-account-technician-01,true,"UserIdentity{name: 'Adrian', surname: 'San Miguel', email: 'asa@acme.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Juan Miguel', surname: 'Jimenez Coin', email: 'jmjc@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Marc', surname: 'Bartra Barcelona', email: 'mbb@acme.com'}",technician3,technician3
user-account-technician-04,true,"UserIdentity{name: 'Diego', surname: 'Llorente Sociedad', email: 'dls@acme.com'}",technician4,technician4
user-account-technician-05,true,"UserIdentity{name: 'Yousuf', surname: 'Sabaly Senegal', email: 'yss@acme.com'}",technician5,technician5
user-account-technician-06,true,"UserIdentity{name: 'Carlos', surname: 'Fernandez Lopez', email: 'cfl@acme.com'}",technician6,technician6
user-account-technician-07,true,"UserIdentity{name: 'Raul', surname: 'Gonzalez Blanco', email: 'rgb@acme.com'}",technician7,technician7
user-account-technician-08,true,"UserIdentity{name: 'Sergio', surname: 'Ramos Garcia', email: 'srg@acme.com'}",technician8,technician8
user-account-technician-09,true,"UserIdentity{name: 'Alvaro', surname: 'Morata Martin', email: 'amm@acme.com'}",technician9,technician9
user-account-technician-10,true,"UserIdentity{name: 'Gerard', surname: 'Pique Bernabeu', email: 'gpb@acme.com'}",technician10,technician10
user-account-technician-11,true,"UserIdentity{name: 'Iker', surname: 'Casillas Fernandez', email: 'icf@acme.com'}",technician11,technician11
user-account-technician-12,true,"UserIdentity{name: 'Xavi', surname: 'Hernandez Creus', email: 'xhc@acme.com'}",technician12,technician12
user-account-technician-13,true,"UserIdentity{name: 'Andres', surname: 'Iniesta Lujan', email: 'ail@acme.com'}",technician13,technician13
user-account-technician-14,true,"UserIdentity{name: 'David', surname: 'Villa Sanchez', email: 'dvs@acme.com'}",technician14,technician14
user-account-technician-15,true,"UserIdentity{name: 'Fernando', surname: 'Torres Sanz', email: 'fts@acme.com'}",technician15,technician15
user-account-technician-16,true,"UserIdentity{name: 'Jordi', surname: 'Alba Ramos', email: 'jar@acme.com'}",technician16,technician16
user-account-technician-17,true,"UserIdentity{name: 'Santi', surname: 'Cazorla Gonzalez', email: 'scg@acme.com'}",technician17,technician17
user-account-technician-18,true,"UserIdentity{name: 'Juan', surname: 'Mata Garcia', email: 'jmg@acme.com'}",technician18,technician18
user-account-technician-19,true,"UserIdentity{name: 'Cesc', surname: 'Fabregas Soler', email: 'cfs@acme.com'}",technician19,technician19
user-account-technician-20,true,"UserIdentity{name: 'Pepe', surname: 'Reina Paez', email: 'prp@acme.com'}",technician20,technician20
user-account-technician-21,true,"UserIdentity{name: 'Nacho', surname: 'Monreal Eraso', email: 'nme@acme.com'}",technician21,technician21
user-account-technician-22,true,"UserIdentity{name: 'Dani', surname: 'Carvajal Ramos', email: 'dcr@acme.com'}",technician22,technician22
user-account-technician-23,true,"UserIdentity{name: 'Koke', surname: 'Resurreccion Merodio', email: 'krm@acme.com'}",technician23,technician23
user-account-technician-24,true,"UserIdentity{name: 'Isco', surname: 'Alarcon Suarez', email: 'ias@acme.com'}",technician24,technician24
user-account-technician-25,true,"UserIdentity{name: 'Marco', surname: 'Asensio Willemsen', email: 'maw@acme.com'}",technician25,technician25
user-account-technician-26,true,"UserIdentity{name: 'Saul', surname: 'Niguez Esclapez', email: 'sne@acme.com'}",technician26,technician26
user-account-technician-27,true,"UserIdentity{name: 'Rodrigo', surname: 'Hernandez Cascante', email: 'rhc@acme.com'}",technician27,technician27
user-account-technician-28,true,"UserIdentity{name: 'Mikel', surname: 'Oyarzabal Ugarte', email: 'mou@acme.com'}",technician28,technician28
user-account-technician-29,true,"UserIdentity{name: 'Pablo', surname: 'Sarabia Garcia', email: 'psg@acme.com'}",technician29,technician29
user-account-technician-30,true,"UserIdentity{name: 'Ansu', surname: 'Fati Vieira', email: 'afv@acme.com'}",technician30,technician30
